Student_Name,Enrollment_No,Total_Present,Total_Absent,Machine_Learning,iOS,MERN,Flutter,S
Nikhil Shah,202504104610059,20,10.0,4.0,2.0,4.0,6.0,4.0
Pooja Shah,202504104610060,25,5.0,6.0,11.0,4.0,2.0,2.0
Kenil Desai,202504104610061,28,2.0,13.0,4.0,6.0,2.0,3.0
Priyanka Desai,202504104610062,18,12.0,2.0,3.0,4.0,5.0,4.0
Rahul Desai,202504104610063,21,9.0,5.0,2.0,6.0,3.0,5.0
Sneha Desai,202504104610064,22,8.0,10.0,3.0,4.0,3.0,2.0
Aarav Desai,202504104610065,26,4.0,15.0,3.0,2.0,4.0,2.0
Riya Desai,202504104610066,23,7.0,9.0,7.0,3.0,2.0,2.0
Harsh Desai,202504104610067,26,4.0,6.0,10.0,6.0,2.0,2.0
Nisha Desai,202504104610068,25,5.0,7.0,11.0,2.0,2.0,3.0
Yash Desai,202504104610069,20,10.0,4.0,9.0,2.0,2.0,3.0
Diya Desai,202504104610070,23,7.0,12.0,5.0,2.0,2.0,2.0
Karan Desai,202504104610071,21,9.0,5.0,6.0,2.0,2.0,6.0
Anjali Desai,202504104610072,26,4.0,16.0,4.0,2.0,2.0,2.0
Parth Desai,202504104610073,25,5.0,12.0,6.0,2.0,3.0,2.0
Khushi Desai,202504104610074,25,5.0,17.0,2.0,2.0,2.0,2.0
Dev Desai,202504104610075,25,5.0,6.0,8.0,2.0,5.0,4.0
Meera Desai,202504104610076,25,5.0,12.0,2.0,7.0,2.0,2.0
Karan Patel,202504104610077,24,6.0,3.0,5.0,12.0,2.0,2.0
Aditi Desai,202504104610078,30,6.876288659793815,5.0,6.0,13.0,4.0,2.0
Nikhil Desai,202504104610079,28,2.0,13.0,4.0,4.0,3.0,4.0
Pooja Desai,202504104610080,25,5.0,9.0,3.0,8.0,3.0,2.0
Kenil Prajapati,202504104610081,20,10.0,12.0,2.0,2.0,2.0,2.0
Priyanka Prajapati,202504104610082,26,4.0,14.0,4.0,3.0,2.0,3.0
Rahul Prajapati,202504104610083,23,7.0,7.0,3.0,3.633663366336634,2.0,4.0
Sneha Prajapati,202504104610084,23,7.0,10.0,5.0,3.0,2.0,3.0
Aarav Prajapati,202504104610085,24,6.0,7.0,10.0,3.0,2.0,2.0
Riya Prajapati,202504104610086,19,11.0,5.0,2.0,2.0,4.0,6.0
Harsh Prajapati,202504104610087,22,8.0,2.0,14.0,2.0,2.0,2.0
Nisha Prajapati,202504104610088,30,6.876288659793815,6.0,15.0,4.0,3.0,2.0
Yash Prajapati,202504104610089,20,10.0,10.0,4.0,2.0,2.0,2.0
Diya Prajapati,202504104610090,19,11.0,6.0,2.0,7.0,2.0,2.0
Karan Prajapati,202504104610091,24,6.0,16.0,2.0,2.0,2.0,2.0
Anjali Prajapati,202504104610092,28,2.0,4.0,10.0,3.0,5.0,6.0
Parth Prajapati,202504104610093,19,11.0,6.0,5.366336633663367,5.0,2.0,4.0
Khushi Prajapati,202504104610094,23,7.0,10.0,5.0,3.0,2.0,3.0
Dev Prajapati,202504104610095,18,12.0,10.0,2.0,2.0,2.0,2.0
Meera Prajapati,202504104610096,22,8.0,2.0,4.0,5.0,6.0,5.0
Rohan Prajapati,202504104610097,28,2.0,11.0,10.0,2.0,3.0,2.0
Aditi Prajapati,202504104610098,25,5.0,7.0,6.0,4.0,2.0,6.0
Nikhil Prajapati,202504104610099,22,8.0,2.0,2.0,2.0,13.0,3.0
Pooja Prajapati,202504104610100,26,4.0,8.0,10.0,3.0,2.0,3.0
Sneha Patel,202504104610004,24,6.0,8.950980392156863,5.0,3.0,10.0,3.0
